CountryCode,Conference,Year,Delegates
AFG,COP1,1995,0
ALB,COP1,1995,0
DZA,COP1,1995,9
AGO,COP1,1995,0
ATG,COP1,1995,4
ARG,COP1,1995,9
ARM,COP1,1995,3
AUS,COP1,1995,30
AUT,COP1,1995,17
AZE,COP1,1995,0
BHS,COP1,1995,1
BHR,COP1,1995,5
BGD,COP1,1995,3
BRB,COP1,1995,1
BLR,COP1,1995,0
BEL,COP1,1995,0
BLZ,COP1,1995,1
BEN,COP1,1995,4
BTN,COP1,1995,0
BOL,COP1,1995,3
BIH,COP1,1995,0
BWA,COP1,1995,2
BRA,COP1,1995,9
BRN,COP1,1995,0
BGR,COP1,1995,0
BFA,COP1,1995,3
BDI,COP1,1995,0
CPV,COP1,1995,0
KHM,COP1,1995,0
CMR,COP1,1995,1
CAN,COP1,1995,25
CAF,COP1,1995,0
TCD,COP1,1995,8
CHL,COP1,1995,4
CHN,COP1,1995,19
COL,COP1,1995,0
COM,COP1,1995,2
COG,COP1,1995,0
COK,COP1,1995,1
CRI,COP1,1995,6
CIV,COP1,1995,5
HRV,COP1,1995,0
CUB,COP1,1995,4
CYP,COP1,1995,0
CZE,COP1,1995,11
ZAR,COP1,1995,0
DNK,COP1,1995,14
DJI,COP1,1995,0
DMA,COP1,1995,1
DOM,COP1,1995,0
ECU,COP1,1995,2
EGY,COP1,1995,5
SLV,COP1,1995,0
GNQ,COP1,1995,0
ERI,COP1,1995,0
EST,COP1,1995,3
ETH,COP1,1995,2
FJI,COP1,1995,3
FIN,COP1,1995,13
FRA,COP1,1995,14
GAB,COP1,1995,0
GMB,COP1,1995,3
GEO,COP1,1995,2
DEU,COP1,1995,82
GHA,COP1,1995,0
GRC,COP1,1995,11
GRD,COP1,1995,2
GTM,COP1,1995,0
GIN,COP1,1995,5
GNB,COP1,1995,0
GUY,COP1,1995,1
HTI,COP1,1995,0
HND,COP1,1995,0
HUN,COP1,1995,5
ISL,COP1,1995,1
IND,COP1,1995,5
IDN,COP1,1995,17
IRN,COP1,1995,0
IRQ,COP1,1995,0
IRL,COP1,1995,7
ISR,COP1,1995,0
ITA,COP1,1995,14
JAM,COP1,1995,1
JPN,COP1,1995,25
JOR,COP1,1995,1
KAZ,COP1,1995,0
KEN,COP1,1995,2
KIR,COP1,1995,0
KWT,COP1,1995,10
KGZ,COP1,1995,0
LAO,COP1,1995,2
LVA,COP1,1995,0
LBN,COP1,1995,1
LSO,COP1,1995,0
LBR,COP1,1995,0
LBY,COP1,1995,0
LIE,COP1,1995,0
LTU,COP1,1995,0
LUX,COP1,1995,3
MKD,COP1,1995,0
MDG,COP1,1995,0
MWI,COP1,1995,3
MYS,COP1,1995,5
MDV,COP1,1995,3
MLI,COP1,1995,1
MLT,COP1,1995,4
MHL,COP1,1995,3
MRT,COP1,1995,4
MUS,COP1,1995,3
MEX,COP1,1995,8
FSM,COP1,1995,5
MCO,COP1,1995,1
MNG,COP1,1995,2
MNE,COP1,1995,0
MAR,COP1,1995,0
MOZ,COP1,1995,0
MMR,COP1,1995,4
NAM,COP1,1995,0
NRU,COP1,1995,2
NPL,COP1,1995,2
NLD,COP1,1995,24
NZL,COP1,1995,11
NIC,COP1,1995,0
NER,COP1,1995,1
NGA,COP1,1995,15
NOR,COP1,1995,14
OMN,COP1,1995,0
PAK,COP1,1995,1
PLW,COP1,1995,0
PAN,COP1,1995,0
PNG,COP1,1995,5
PRY,COP1,1995,1
PER,COP1,1995,3
PHL,COP1,1995,13
POL,COP1,1995,14
PRT,COP1,1995,9
QAT,COP1,1995,0
KOR,COP1,1995,19
MDA,COP1,1995,0
ROM,COP1,1995,5
RUS,COP1,1995,14
RWA,COP1,1995,0
KNA,COP1,1995,2
LCA,COP1,1995,1
VCT,COP1,1995,0
WSM,COP1,1995,2
SMR,COP1,1995,0
STP,COP1,1995,0
SAU,COP1,1995,13
SEN,COP1,1995,8
SCG,COP1,1995,0
SYC,COP1,1995,2
SLE,COP1,1995,0
SGP,COP1,1995,0
SVK,COP1,1995,9
SVN,COP1,1995,0
SLB,COP1,1995,2
SOM,COP1,1995,0
ZAF,COP1,1995,0
ESP,COP1,1995,16
LKA,COP1,1995,3
SDN,COP1,1995,2
SUR,COP1,1995,0
SWZ,COP1,1995,0
SWE,COP1,1995,11
CHE,COP1,1995,16
SYR,COP1,1995,0
TJK,COP1,1995,0
THA,COP1,1995,13
TMP,COP1,1995,0
TGO,COP1,1995,0
TON,COP1,1995,0
TTO,COP1,1995,2
TUN,COP1,1995,6
TUR,COP1,1995,0
TKM,COP1,1995,0
TUV,COP1,1995,4
UGA,COP1,1995,5
UKR,COP1,1995,0
ARE,COP1,1995,0
GBR,COP1,1995,24
TZA,COP1,1995,0
USA,COP1,1995,27
URY,COP1,1995,3
UZB,COP1,1995,5
VUT,COP1,1995,3
VEN,COP1,1995,9
VNM,COP1,1995,3
YEM,COP1,1995,0
ZMB,COP1,1995,5
ZWE,COP1,1995,3
AFG,COP10,2004,0
ALB,COP10,2004,1
DZA,COP10,2004,13
AGO,COP10,2004,10
ATG,COP10,2004,2
ARG,COP10,2004,76
ARM,COP10,2004,2
AUS,COP10,2004,26
AUT,COP10,2004,26
AZE,COP10,2004,4
BHS,COP10,2004,1
BHR,COP10,2004,0
BGD,COP10,2004,10
BRB,COP10,2004,3
BLR,COP10,2004,3
BEL,COP10,2004,29
BLZ,COP10,2004,3
BEN,COP10,2004,3
BTN,COP10,2004,3
BOL,COP10,2004,7
BIH,COP10,2004,5
BWA,COP10,2004,0
BRA,COP10,2004,207
BRN,COP10,2004,0
BGR,COP10,2004,8
BFA,COP10,2004,2
BDI,COP10,2004,1
CPV,COP10,2004,0
KHM,COP10,2004,1
CMR,COP10,2004,3
CAN,COP10,2004,70
CAF,COP10,2004,2
TCD,COP10,2004,1
CHL,COP10,2004,39
CHN,COP10,2004,37
COL,COP10,2004,12
COM,COP10,2004,1
COG,COP10,2004,6
COK,COP10,2004,3
CRI,COP10,2004,9
CIV,COP10,2004,3
HRV,COP10,2004,8
CUB,COP10,2004,4
CYP,COP10,2004,2
CZE,COP10,2004,7
ZAR,COP10,2004,6
DNK,COP10,2004,26
DJI,COP10,2004,2
DMA,COP10,2004,0
DOM,COP10,2004,2
ECU,COP10,2004,8
EGY,COP10,2004,8
SLV,COP10,2004,4
GNQ,COP10,2004,0
ERI,COP10,2004,0
EST,COP10,2004,3
ETH,COP10,2004,2
FJI,COP10,2004,3
FIN,COP10,2004,34
FRA,COP10,2004,50
GAB,COP10,2004,3
GMB,COP10,2004,3
GEO,COP10,2004,5
DEU,COP10,2004,46
GHA,COP10,2004,8
GRC,COP10,2004,7
GRD,COP10,2004,1
GTM,COP10,2004,8
GIN,COP10,2004,1
GNB,COP10,2004,1
GUY,COP10,2004,0
HTI,COP10,2004,5
HND,COP10,2004,2
HUN,COP10,2004,5
ISL,COP10,2004,6
IND,COP10,2004,16
IDN,COP10,2004,30
IRN,COP10,2004,12
IRQ,COP10,2004,0
IRL,COP10,2004,16
ISR,COP10,2004,23
ITA,COP10,2004,62
JAM,COP10,2004,2
JPN,COP10,2004,82
JOR,COP10,2004,4
KAZ,COP10,2004,4
KEN,COP10,2004,11
KIR,COP10,2004,5
KWT,COP10,2004,7
KGZ,COP10,2004,3
LAO,COP10,2004,3
LVA,COP10,2004,3
LBN,COP10,2004,0
LSO,COP10,2004,1
LBR,COP10,2004,1
LBY,COP10,2004,8
LIE,COP10,2004,1
LTU,COP10,2004,4
LUX,COP10,2004,12
MKD,COP10,2004,0
MDG,COP10,2004,1
MWI,COP10,2004,2
MYS,COP10,2004,17
MDV,COP10,2004,3
MLI,COP10,2004,3
MLT,COP10,2004,3
MHL,COP10,2004,1
MRT,COP10,2004,1
MUS,COP10,2004,1
MEX,COP10,2004,30
FSM,COP10,2004,8
MCO,COP10,2004,0
MNG,COP10,2004,2
MNE,COP10,2004,0
MAR,COP10,2004,10
MOZ,COP10,2004,7
MMR,COP10,2004,0
NAM,COP10,2004,8
NRU,COP10,2004,0
NPL,COP10,2004,3
NLD,COP10,2004,60
NZL,COP10,2004,22
NIC,COP10,2004,2
NER,COP10,2004,2
NGA,COP10,2004,18
NOR,COP10,2004,30
OMN,COP10,2004,2
PAK,COP10,2004,8
PLW,COP10,2004,0
PAN,COP10,2004,25
PNG,COP10,2004,0
PRY,COP10,2004,24
PER,COP10,2004,28
PHL,COP10,2004,10
POL,COP10,2004,5
PRT,COP10,2004,18
QAT,COP10,2004,9
KOR,COP10,2004,50
MDA,COP10,2004,0
ROM,COP10,2004,9
RUS,COP10,2004,33
RWA,COP10,2004,1
KNA,COP10,2004,1
LCA,COP10,2004,1
VCT,COP10,2004,0
WSM,COP10,2004,6
SMR,COP10,2004,0
STP,COP10,2004,0
SAU,COP10,2004,21
SEN,COP10,2004,4
SCG,COP10,2004,6
SYC,COP10,2004,1
SLE,COP10,2004,3
SGP,COP10,2004,7
SVK,COP10,2004,3
SVN,COP10,2004,4
SLB,COP10,2004,2
SOM,COP10,2004,0
ZAF,COP10,2004,27
ESP,COP10,2004,48
LKA,COP10,2004,3
SDN,COP10,2004,4
SUR,COP10,2004,2
SWZ,COP10,2004,1
SWE,COP10,2004,32
CHE,COP10,2004,18
SYR,COP10,2004,3
TJK,COP10,2004,0
THA,COP10,2004,17
TMP,COP10,2004,0
TGO,COP10,2004,1
TON,COP10,2004,0
TTO,COP10,2004,3
TUN,COP10,2004,6
TUR,COP10,2004,11
TKM,COP10,2004,1
TUV,COP10,2004,4
UGA,COP10,2004,3
UKR,COP10,2004,14
ARE,COP10,2004,9
GBR,COP10,2004,47
TZA,COP10,2004,6
USA,COP10,2004,112
URY,COP10,2004,15
UZB,COP10,2004,2
VUT,COP10,2004,2
VEN,COP10,2004,7
VNM,COP10,2004,2
YEM,COP10,2004,1
ZMB,COP10,2004,0
ZWE,COP10,2004,2
AFG,COP11,2005,4
ALB,COP11,2005,3
DZA,COP11,2005,9
AGO,COP11,2005,8
ATG,COP11,2005,4
ARG,COP11,2005,26
ARM,COP11,2005,2
AUS,COP11,2005,27
AUT,COP11,2005,34
AZE,COP11,2005,7
BHS,COP11,2005,5
BHR,COP11,2005,2
BGD,COP11,2005,12
BRB,COP11,2005,6
BLR,COP11,2005,8
BEL,COP11,2005,45
BLZ,COP11,2005,4
BEN,COP11,2005,4
BTN,COP11,2005,8
BOL,COP11,2005,10
BIH,COP11,2005,3
BWA,COP11,2005,6
BRA,COP11,2005,139
BRN,COP11,2005,0
BGR,COP11,2005,7
BFA,COP11,2005,3
BDI,COP11,2005,3
CPV,COP11,2005,1
KHM,COP11,2005,2
CMR,COP11,2005,4
CAN,COP11,2005,325
CAF,COP11,2005,3
TCD,COP11,2005,1
CHL,COP11,2005,19
CHN,COP11,2005,43
COL,COP11,2005,8
COM,COP11,2005,1
COG,COP11,2005,10
COK,COP11,2005,6
CRI,COP11,2005,18
CIV,COP11,2005,5
HRV,COP11,2005,6
CUB,COP11,2005,8
CYP,COP11,2005,3
CZE,COP11,2005,9
ZAR,COP11,2005,7
DNK,COP11,2005,34
DJI,COP11,2005,2
DMA,COP11,2005,2
DOM,COP11,2005,5
ECU,COP11,2005,8
EGY,COP11,2005,11
SLV,COP11,2005,5
GNQ,COP11,2005,0
ERI,COP11,2005,0
EST,COP11,2005,7
ETH,COP11,2005,2
FJI,COP11,2005,3
FIN,COP11,2005,40
FRA,COP11,2005,61
GAB,COP11,2005,7
GMB,COP11,2005,4
GEO,COP11,2005,5
DEU,COP11,2005,47
GHA,COP11,2005,12
GRC,COP11,2005,11
GRD,COP11,2005,2
GTM,COP11,2005,19
GIN,COP11,2005,5
GNB,COP11,2005,3
GUY,COP11,2005,2
HTI,COP11,2005,2
HND,COP11,2005,5
HUN,COP11,2005,10
ISL,COP11,2005,8
IND,COP11,2005,15
IDN,COP11,2005,36
IRN,COP11,2005,12
IRQ,COP11,2005,0
IRL,COP11,2005,22
ISR,COP11,2005,6
ITA,COP11,2005,62
JAM,COP11,2005,8
JPN,COP11,2005,71
JOR,COP11,2005,6
KAZ,COP11,2005,6
KEN,COP11,2005,11
KIR,COP11,2005,1
KWT,COP11,2005,10
KGZ,COP11,2005,2
LAO,COP11,2005,3
LVA,COP11,2005,8
LBN,COP11,2005,0
LSO,COP11,2005,3
LBR,COP11,2005,2
LBY,COP11,2005,7
LIE,COP11,2005,1
LTU,COP11,2005,5
LUX,COP11,2005,7
MKD,COP11,2005,4
MDG,COP11,2005,4
MWI,COP11,2005,11
MYS,COP11,2005,17
MDV,COP11,2005,4
MLI,COP11,2005,7
MLT,COP11,2005,3
MHL,COP11,2005,1
MRT,COP11,2005,7
MUS,COP11,2005,2
MEX,COP11,2005,75
FSM,COP11,2005,7
MCO,COP11,2005,4
MNG,COP11,2005,3
MNE,COP11,2005,0
