Party_birth,CountryCode,COP1,COP2,COP3,COP4,COP5,COP6,COP7,COP8,COP9,COP10,COP11,COP12,COP13,COP14
2002-12-18Ê,AFG,NA,NA,NA,NA,NA,NA,0,0,1,1,3,2,0,2
1994-04-05Ê,ALB,1,0,1,1,0,3,1,1,3,1,0,7,7,2
1995-11-12Ê,DZA,NA,3,5,5,3,4,4,5,7,9,5,7,3,5
2015-05-05Ê,AND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2
1998-06-30Ê,AGO,NA,NA,NA,NA,4,4,2,7,3,8,1,8,5,7
1993-12-29Ê,ATG,2,1,1,1,1,3,2,2,4,2,2,1,2,2
1995-02-20Ê,ARG,2,19,54,14,7,5,6,21,7,7,9,5,13,13
1993-12-29Ê,ARM,1,0,2,0,1,3,0,0,5,1,1,-2,1,1
1993-12-29Ê,AUS,9,15,9,14,9,7,11,9,18,17,10,5,7,0
1994-11-16Ê,AUT,3,4,6,13,7,10,8,34,25,18,9,10,6,23
2000-11-01Ê,AZE,NA,NA,NA,NA,NA,3,0,0,3,0,1,0,2,1
1993-12-29Ê,BHS,42,4,1,2,1,2,2,1,6,0,0,0,0,0
1996-11-28Ê,BHR,NA,NA,0,0,0,0,0,0,1,5,6,4,2,2
1994-08-01Ê,BGD,1,3,1,1,4,9,3,1,3,3,5,2,9,5
1994-03-10Ê,BRB,0,1,1,0,1,1,1,1,1,2,0,0,1,0
1993-12-29Ê,BLR,1,2,1,2,1,3,0,0,1,2,1,4,2,2
1997-02-20Ê,BEL,NA,NA,NA,4,6,14,13,8,20,62,14,21,14,24
1994-03-30Ê,BLZ,1,2,1,1,1,0,1,10,1,11,0,0,7,4
1994-09-28Ê,BEN,2,3,4,4,3,5,3,3,1,3,3,4,5,3
1995-11-23Ê,BTN,NA,2,1,2,2,3,2,3,5,8,5,12,5,1
1995-01-01Ê,BOL,0,3,7,2,2,8,3,6,7,4,6,8,3,4
2002-11-24Ê,BIH,NA,NA,NA,NA,NA,NA,0,1,1,1,7,3,2,4
1996-01-10Ê,BWA,NA,1,1,3,4,1,3,6,4,8,6,2,10,14
1994-05-29Ê,BRA,11,13,24,7,9,13,19,123,97,85,33,38,53,66
2008-07-27Ê,BRN,NA,NA,NA,NA,NA,NA,NA,NA,7,7,3,3,0,0
1996-07-16Ê,BGR,NA,NA,2,4,0,3,6,3,3,4,7,3,4,3
1993-12-29Ê,BFA,2,3,1,1,2,1,5,2,4,5,12,7,6,10
1997-07-14Ê,BDI,NA,NA,NA,1,1,1,2,1,1,1,3,7,1,3
1995-06-27Ê,CPV,NA,0,1,0,0,1,0,2,4,2,1,2,2,1
1995-05-10Ê,KHM,NA,4,1,0,0,1,5,8,2,6,10,7,9,10
1995-01-17Ê,CMR,3,5,2,2,5,6,4,6,5,2,3,5,8,7
1993-12-29Ê,CAN,11,22,17,16,24,46,40,45,42,51,18,16,33,40
1995-06-13Ê,CAF,NA,1,2,1,4,4,1,0,3,1,2,1,1,3
1994-09-05Ê,TCD,1,1,1,2,1,1,1,2,6,3,3,3,1,5
1994-12-08Ê,CHL,6,3,7,3,4,5,8,15,8,8,5,3,7,3
1993-12-29Ê,CHN,14,11,11,12,10,20,25,23,27,24,29,27,28,39
1995-02-26Ê,COL,6,8,12,9,8,9,8,11,7,16,11,5,17,9
1994-12-28Ê,COM,2,0,1,1,1,1,1,1,1,2,5,4,1,1
1996-10-30Ê,COG,NA,NA,1,4,1,1,3,3,6,4,2,4,1,2
1993-12-29Ê,COK,2,1,1,0,1,1,4,3,2,2,1,0,1,1
1994-11-24Ê,CRI,4,2,5,3,5,4,2,8,10,11,10,4,28,16
1995-02-27Ê,CIV,3,1,4,3,1,3,1,3,6,3,3,2,3,3
1997-01-05Ê,HRV,NA,NA,2,2,1,3,2,4,7,4,7,3,2,3
1994-06-06Ê,CUB,3,2,6,5,1,5,3,3,6,2,3,1,5,2
1996-10-08Ê,CYP,NA,NA,0,3,1,2,0,0,1,4,8,0,1,0
1994-03-03Ê,CZE,2,3,5,8,5,10,5,8,10,5,9,6,2,4
1995-01-24Ê,PRK,1,5,0,1,0,0,2,0,,0,2,0,0,2
